Patron #,Total All Revenue,Most Recent Donation Date,Total Donations,Total Ticket Revenue,Total Tickets,2002 Qty,2002 Total Cost,2003 Qty,2003 Total Cost,2004 Qty,2004 Total Cost,2005 Qty,2005 Total Cost,2006 Qty,2006 Total Cost,2007 Qty,2007 Total Cost,2008 Qty,2008 Total Cost,2009 Qty,2009 Total Cost,2010 Qty,2010 Total Cost,2011 Qty,2011 Total Cost,2012 Qty,2012 Total Cost,2013 Qty,2013 Total Cost,2014 Qty,2014 Total Cost,2015 Qty,2015 Total Cost,2004 Donation,2005 Donation,2006 Donation,2007 Donation,2008 Donation,2009 Donation,2010 Donation,2011 Donation,2012 Donation,2013 Donation,2014 Donation,2015 Donation
2,3400.00,11/7/2008,3400.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,2200,300,250,250,100,0,0,0,0,0,0
3,3828.33,3/3/2011,600.00,3228.33,162,0,0,14,296,12,282.33,15,278,14,412,16,348,11,253,15,327,14,258,12,229,10,90,13,130,16,325,0,0,0,0,100,100,100,100,100,100,0,0,0,0
4,40.00,,0.00,40.00,2,0,0,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,8353.00,6/9/2014,2330.00,6023.00,173,16,352,12,370,16,480,19,591,16,560,12,405,8,316,8,328,9,349,12,486,10,400,10,370,11,424,14,592,100,150,150,250,250,150,250,250,250,250,250,30
29,4671.00,3/10/2014,465.00,4206.00,119,0,0,6,156,6,168,14,434,22,739,22,732,15,524,2,86,6,246,8,349,8,302,4,200,4,198,2,72,0,0,15,100,100,0,25,25,0,100,100,0
34,41.00,,0.00,41.00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,3067.00,,0.00,3067.00,126,8,230,0,0,0,0,0,0,2,84,9,205,7,177,7,79,10,156,12,240,19,524,18,442,16,436,18,494,0,0,0,0,0,0,0,0,0,0,0,0
55,1367.00,1/15/2014,691.00,676.00,16,0,0,0,0,0,0,0,0,0,0,2,66,4,172,2,84,0,0,0,0,2,70,2,50,2,102,2,132,30,35,50,50,55,51,55,60,65,75,80,85
63,529.00,2/19/2004,250.00,279.00,47,14,212,4,0,7,58,7,9,1,0,11,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0
67,7380.84,2/20/2013,1660.00,5720.84,152,0,0,0,0,0,0,10,240.5,10,345.67,13,336.67,14,411,16,619,17,689,20,800,13,537,13,508,12,578,14,656,100,0,100,100,100,125,225,250,250,130,0,280
83,40.00,,0.00,40.00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,2528.50,1/3/2011,120.00,2408.50,83,0,0,4,98,8,180,8,180,9,242,8,239,8,276,8,236,9,271.5,9,262,0,0,2,85,1,51,9,288,0,0,10,15,20,25,25,25,0,0,0,0
100,229.67,,0.00,229.67,9,0,0,0,0,9,229.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,1810.00,,0.00,1810.00,53,16,360,12,404,4,140,4,148,0,0,0,0,3,138,0,0,0,0,6,282,0,0,0,0,8,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,3739.00,1/16/2012,560.00,3179.00,98,8,162,8,216,8,220,8,220,8,255,8,306,8,276,8,288,8,304,12,404,8,304,6,224,0,0,0,0,0,100,115,50,120,100,25,25,25,0,0,0
119,308.00,,0.00,308.00,12,4,84,0,0,0,0,0,0,0,0,8,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,10940.00,11/26/2013,734.00,10206.00,250,0,0,0,0,4,140,24,720,18,616,16,560,16,632,16,656,18,734,22,804,17,781,19,866,34,1583,46,2114,0,0,0,0,0,0,106,100,100,100,100,228
126,1302.00,5/5/2011,75.00,1227.00,74,8,138,8,208,4,120,6,150,8,184,6,66,7,110,6,158,6,93,0,0,5,0,4,0,0,0,6,0,0,0,0,0,0,0,25,50,0,0,0,0
138,250.00,,0.00,250.00,14,0,0,0,0,2,250,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,5182.50,1/30/2008,785.00,4397.50,192,25,518,37,804,44,871,44,868,16,422.5,14,496,12,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,250,250,15,20,0,0,0,0,0,0,0
153,2905.00,12/3/2012,205.00,2700.00,100,8,114,8,184,8,180,8,180,8,199,10,257,10,278,8,248,8,256,8,256,8,276,8,272,0,0,0,0,0,0,15,15,70,25,25,0,25,30,0,0
154,1248.00,,0.00,1248.00,51,27,496,13,392,11,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,5365.00,5/31/2014,3315.00,2050.00,54,0,0,0,0,1,30,3,105,2,79,4,144,4,175,6,214,7,245,5,198,7,250,5,200,5,203,5,207,50,50,100,200,250,250,275,350,350,350,590,500
160,4689.25,12/24/2013,240.00,4449.25,150,10,176,8,208,8,208,8,208,12,272.25,10,315,10,326,18,549,10,354,11,345,14,392,15,448,6,264,10,384,0,0,0,25,25,25,25,25,25,30,30,30
164,1694.00,1/21/2009,125.00,1569.00,47,8,138,0,0,8,200,8,320,6,244,0,0,0,0,11,421,6,246,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,25,0,0,0,0,0,0
171,188.00,,0.00,188.00,6,0,0,0,0,0,0,0,0,4,114,0,0,0,0,2,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,975.00,2/19/2008,50.00,925.00,28,4,107,4,142,4,140,4,90,4,158,4,162,4,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0
193,0.00,,0.00,0.00,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,4370.34,1/10/2013,1045.00,3325.34,98,0,0,0,0,8,200,8,220,8,271,11,301.34,9,330,8,304,10,366,12,442,10,370,10,370,2,91,2,60,200,100,15,100,100,100,100,100,100,130,0,0
199,9739.50,1/8/2014,2300.00,7439.50,218,20,480,14,368,25,917,44,1772,26,1063,14,460,0,0,2,84,12,336,15,429,6,226,15,344,6,252,19,708.5,300,0,250,100,150,150,150,200,250,250,250,250
213,2678.40,3/5/2014,1150.00,1528.40,57,0,0,0,0,9,263.4,0,0,1,38,3,96,0,0,2,71,4,180,8,196,11,188,0,0,2,96,17,400,100,100,100,100,50,50,100,100,100,100,100,150
217,1352.00,2/21/2012,800.00,552.00,18,4,110,4,120,4,136,4,120,2,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,0,100,100,0,0,0
219,150.00,11/21/2007,150.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,100,0,0,0,0,0,0,0
228,58.00,,0.00,58.00,2,0,0,0,0,2,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,630.00,2/28/2008,70.00,560.00,21,0,0,0,0,0,0,0,0,0,0,3,0,9,298,7,180,0,0,2,82,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0
293,938.00,11/26/2003,250.00,688.00,26,4,0,6,70,10,460,6,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0
353,2240.02,,0.00,2240.02,96,40,690,26,672.02,8,200,22,678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,130.00,,0.00,130.00,6,0,0,0,0,6,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447,1541.34,4/22/2014,350.00,1191.34,35,0,0,0,0,0,0,0,0,0,0,3,38.34,4,110,2,84,6,136,2,91,4,176,7,234,0,0,7,322,0,0,0,0,0,0,0,0,0,0,350,0
451,1881.00,6/10/2014,465.00,1416.00,56,6,120,8,208,10,266,8,180,8,200,8,224,8,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,0,50,50,50,50,50,35,30
480,1964.00,12/24/2013,1200.00,764.00,19,0,0,0,0,2,52,2,64,0,0,2,50,0,0,0,0,0,0,3,135,4,209,2,68,2,82,2,104,100,100,100,100,100,100,100,100,100,100,100,100
482,992.00,3/13/2014,900.00,92.00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,1,43,0,0,0,0,0,100,100,100,0,100,50,50,100,100,100,100
498,104.00,,0.00,104.00,4,0,0,4,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
543,300.00,12/5/2007,300.00,0.00,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0
570,1806.00,2/9/2007,14.00,1792.00,84,8,132,8,204,16,210,16,210,16,298,6,156,0,0,6,237,6,249,2,96,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0
571,9362.00,2/18/2009,9000.00,362.00,52,0,0,8,180,4,112,12,70,6,0,6,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,2500,1500,1500,1500,0,0,0,0,0,0
577,4314.00,,0.00,4314.00,121,10,208,9,234,8,220,8,240,8,272,8,280,8,316,8,316,8,316,8,316,10,370,8,320,8,356,12,550,0,0,0,0,0,0,0,0,0,0,0,0
581,8120.00,6/15/2012,5000.00,3120.00,96,0,0,0,0,2,58,1,32,4,40.5,6,140.5,13,433,12,386,16,554,10,368,14,480,11,340,0,0,7,288,0,0,0,0,1500,0,0,2000,1500,0,0,0
